date,hour,o_zone_id,d_zone_id,volume
2019-10-16,22,1,12,2.0
2019-10-16,23,1,12,1.0
2019-10-17,23,1,12,1.0
2019-10-15,5,1,13,2.0
2019-10-15,6,1,13,2.0
2019-10-16,6,1,13,4.0
2019-10-17,6,1,13,7.0
2019-10-15,7,1,13,6.0
2019-10-16,7,1,13,6.0
2019-10-17,7,1,13,4.0
2019-10-15,8,1,13,9.0
2019-10-16,8,1,13,7.0
2019-10-17,8,1,13,4.0
2019-10-15,9,1,13,4.0
2019-10-16,9,1,13,9.0
2019-10-17,9,1,13,6.0
2019-10-15,10,1,13,6.0
2019-10-16,10,1,13,5.0
2019-10-17,10,1,13,8.0
2019-10-15,11,1,13,7.0
2019-10-16,11,1,13,10.0
2019-10-17,11,1,13,7.0
2019-10-15,12,1,13,8.0
2019-10-16,12,1,13,10.0
2019-10-17,12,1,13,6.0
2019-10-15,13,1,13,9.0
2019-10-16,13,1,13,11.0
2019-10-17,13,1,13,12.0
2019-10-15,14,1,13,24.0
2019-10-16,14,1,13,32.0
2019-10-17,14,1,13,17.0
2019-10-15,15,1,13,27.0
2019-10-16,15,1,13,29.0
2019-10-17,15,1,13,18.0
2019-10-15,16,1,13,54.0
2019-10-16,16,1,13,50.0
2019-10-17,16,1,13,45.0
2019-10-15,17,1,13,52.0
2019-10-16,17,1,13,43.0
2019-10-17,17,1,13,51.0
2019-10-15,18,1,13,37.0
2019-10-16,18,1,13,30.0
2019-10-17,18,1,13,33.0
2019-10-15,19,1,13,31.0
2019-10-16,19,1,13,8.0
2019-10-17,19,1,13,9.0
2019-10-15,20,1,13,9.0
2019-10-16,20,1,13,8.0
2019-10-17,20,1,13,6.0
2019-10-15,21,1,13,5.0
2019-10-16,21,1,13,8.0
2019-10-17,21,1,13,4.0
2019-10-15,22,1,13,2.0
2019-10-16,22,1,13,6.0
2019-10-17,22,1,13,7.0
2019-10-15,23,1,13,2.0
2019-10-16,23,1,13,2.0
2019-10-17,23,1,13,1.0
2019-10-15,6,1,14,1.0
2019-10-16,6,1,14,3.0
2019-10-17,6,1,14,3.0
2019-10-15,7,1,14,1.0
2019-10-16,7,1,14,3.0
2019-10-17,7,1,14,4.0
2019-10-15,8,1,14,4.0
2019-10-16,8,1,14,3.0
2019-10-17,8,1,14,2.0
2019-10-15,9,1,14,1.0
2019-10-16,9,1,14,3.0
2019-10-17,9,1,14,1.0
2019-10-15,10,1,14,6.0
2019-10-16,10,1,14,1.0
2019-10-17,10,1,14,2.0
2019-10-15,11,1,14,3.0
2019-10-16,11,1,14,4.0
2019-10-17,11,1,14,7.0
2019-10-15,12,1,14,6.0
2019-10-16,12,1,14,14.0
2019-10-17,12,1,14,6.0
2019-10-15,13,1,14,14.0
2019-10-16,13,1,14,2.0
2019-10-17,13,1,14,10.0
2019-10-15,14,1,14,14.0
2019-10-16,14,1,14,18.0
2019-10-17,14,1,14,13.0
2019-10-15,15,1,14,28.0
2019-10-16,15,1,14,42.0
2019-10-17,15,1,14,38.0
2019-10-15,16,1,14,66.0
2019-10-16,16,1,14,65.0
2019-10-17,16,1,14,71.0
2019-10-15,17,1,14,100.0
2019-10-16,17,1,14,96.0
2019-10-17,17,1,14,89.0
2019-10-15,18,1,14,65.0
2019-10-16,18,1,14,69.0
2019-10-17,18,1,14,78.0
2019-10-15,19,1,14,12.0
2019-10-16,19,1,14,19.0
2019-10-17,19,1,14,19.0
2019-10-15,20,1,14,10.0
2019-10-16,20,1,14,2.0
2019-10-17,20,1,14,4.0
2019-10-15,21,1,14,7.0
2019-10-16,21,1,14,3.0
2019-10-17,21,1,14,2.0
2019-10-15,22,1,14,1.0
2019-10-16,22,1,14,2.0
2019-10-17,22,1,14,2.0
2019-10-15,23,1,14,3.0
2019-10-16,23,1,14,4.0
2019-10-17,23,1,14,2.0
2019-10-15,6,1,15,1.0
2019-10-16,6,1,15,1.0
2019-10-17,6,1,15,1.0
2019-10-15,7,1,15,6.0
2019-10-16,7,1,15,8.0
2019-10-17,7,1,15,10.0
2019-10-15,8,1,15,13.0
2019-10-16,8,1,15,11.0
2019-10-17,8,1,15,11.0
2019-10-15,9,1,15,8.0
2019-10-16,9,1,15,7.0
2019-10-17,9,1,15,11.0
2019-10-15,10,1,15,7.0
2019-10-16,10,1,15,5.0
2019-10-17,10,1,15,6.0
2019-10-15,11,1,15,10.0
2019-10-16,11,1,15,8.0
2019-10-17,11,1,15,6.0
2019-10-15,12,1,15,6.0
2019-10-16,12,1,15,12.0
2019-10-17,12,1,15,13.0
2019-10-15,13,1,15,7.0
2019-10-16,13,1,15,10.0
2019-10-17,13,1,15,8.0
2019-10-15,14,1,15,14.0
2019-10-16,14,1,15,6.0
2019-10-17,14,1,15,5.0
2019-10-15,15,1,15,22.0
2019-10-16,15,1,15,16.0
2019-10-17,15,1,15,18.0
2019-10-15,16,1,15,34.0
2019-10-16,16,1,15,41.0
2019-10-17,16,1,15,28.0
2019-10-15,17,1,15,66.0
2019-10-16,17,1,15,65.0
2019-10-17,17,1,15,60.0
2019-10-15,18,1,15,45.0
2019-10-16,18,1,15,35.0
2019-10-17,18,1,15,38.0
2019-10-15,19,1,15,10.0
2019-10-16,19,1,15,10.0
2019-10-17,19,1,15,9.0
2019-10-15,20,1,15,4.0
2019-10-16,20,1,15,5.0
2019-10-17,20,1,15,4.0
2019-10-16,21,1,15,1.0
2019-10-17,21,1,15,3.0
2019-10-15,22,1,15,2.0
2019-10-16,22,1,15,3.0
2019-10-17,22,1,15,4.0
2019-10-15,23,1,15,1.0
2019-10-17,23,1,15,2.0
2019-10-15,5,1,16,3.0
2019-10-16,5,1,16,3.0
2019-10-17,5,1,16,5.0
2019-10-15,6,1,16,4.0
2019-10-16,6,1,16,3.0
2019-10-17,6,1,16,2.0
2019-10-15,7,1,16,23.0
2019-10-16,7,1,16,19.0
2019-10-17,7,1,16,26.0
2019-10-15,8,1,16,62.0
2019-10-16,8,1,16,47.0
2019-10-17,8,1,16,44.0
2019-10-15,9,1,16,71.0
2019-10-16,9,1,16,54.0
2019-10-17,9,1,16,46.0
2019-10-15,10,1,16,26.0
2019-10-16,10,1,16,20.0
2019-10-17,10,1,16,37.0
2019-10-15,11,1,16,22.0
2019-10-16,11,1,16,27.0
2019-10-17,11,1,16,28.0
2019-10-15,12,1,16,33.0
2019-10-16,12,1,16,34.0
2019-10-17,12,1,16,31.0
2019-10-15,13,1,16,37.0
2019-10-16,13,1,16,38.0
2019-10-17,13,1,16,34.0
2019-10-15,14,1,16,21.0
2019-10-16,14,1,16,32.0
2019-10-17,14,1,16,17.0
2019-10-15,15,1,16,35.0
2019-10-16,15,1,16,48.0
2019-10-17,15,1,16,35.0
2019-10-15,16,1,16,52.0
2019-10-16,16,1,16,43.0
2019-10-17,16,1,16,66.0
2019-10-15,17,1,16,83.0
2019-10-16,17,1,16,84.0
2019-10-17,17,1,16,71.0
2019-10-15,18,1,16,80.0
2019-10-16,18,1,16,66.0
2019-10-17,18,1,16,72.0
2019-10-15,19,1,16,29.0
2019-10-16,19,1,16,23.0
2019-10-17,19,1,16,27.0
2019-10-15,20,1,16,12.0
2019-10-16,20,1,16,15.0
2019-10-17,20,1,16,16.0
2019-10-15,21,1,16,6.0
2019-10-16,21,1,16,13.0
2019-10-17,21,1,16,6.0
2019-10-15,22,1,16,2.0
2019-10-16,22,1,16,6.0
2019-10-17,22,1,16,2.0
2019-10-15,23,1,16,3.0
2019-10-16,23,1,16,5.0
2019-10-17,23,1,16,3.0
2019-10-15,6,1,17,4.0
2019-10-16,6,1,17,2.0
2019-10-17,6,1,17,5.0
2019-10-15,7,1,17,6.0
2019-10-16,7,1,17,7.0
2019-10-17,7,1,17,5.0
2019-10-15,8,1,17,1.0
2019-10-16,8,1,17,4.0
2019-10-17,8,1,17,5.0
2019-10-15,9,1,17,4.0
2019-10-16,9,1,17,5.0
2019-10-17,9,1,17,6.0
2019-10-15,10,1,17,6.0
2019-10-16,10,1,17,3.0
2019-10-17,10,1,17,4.0
2019-10-15,11,1,17,7.0
2019-10-16,11,1,17,6.0
2019-10-17,11,1,17,8.0
2019-10-15,12,1,17,9.0
2019-10-16,12,1,17,14.0
2019-10-17,12,1,17,6.0
2019-10-15,13,1,17,19.0
2019-10-16,13,1,17,24.0
2019-10-17,13,1,17,11.0
2019-10-15,14,1,17,25.0
2019-10-16,14,1,17,25.0
2019-10-17,14,1,17,24.0
2019-10-15,15,1,17,61.0
2019-10-16,15,1,17,64.0
2019-10-17,15,1,17,69.0
2019-10-15,16,1,17,119.0
2019-10-16,16,1,17,116.0
2019-10-17,16,1,17,115.0
2019-10-15,17,1,17,124.0
2019-10-16,17,1,17,172.0
2019-10-17,17,1,17,158.0
2019-10-15,18,1,17,72.0
2019-10-16,18,1,17,93.0
2019-10-17,18,1,17,86.0
2019-10-15,19,1,17,29.0
2019-10-16,19,1,17,29.0
2019-10-17,19,1,17,33.0
2019-10-15,20,1,17,17.0
2019-10-16,20,1,17,8.0
2019-10-17,20,1,17,18.0
2019-10-15,21,1,17,10.0
2019-10-16,21,1,17,13.0
2019-10-17,21,1,17,6.0
2019-10-15,22,1,17,4.0
2019-10-16,22,1,17,12.0
2019-10-17,22,1,17,7.0
2019-10-15,23,1,17,1.0
2019-10-16,23,1,17,2.0
2019-10-17,23,1,17,3.0
2019-10-15,6,1,18,4.0
2019-10-16,6,1,18,1.0
